id,element,needs,proposed_owner,sourcing,depends_on,relative_effort,acceptance,source,status,start_guidance
3.4,Wreckage passages,"Coherent torn hull beams/panels/large structures, collision-aware passage chunks, salvage route geometry and background dressing",Environment artist + agent,Reuse station kit or one compatible wreckage pack,1.2;3.2,M,Passages read before commitment; silhouette matches collision; optional risky route is distinct,Briefing p9; art/wreckage.jpg,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
3.5,Electrical storm,"Readable buildup and discharge synchronized to actual damage/interference; spatial cue, bounded flash/visibility, aftermath",Agent + Niagara/audio specialist,License reusable elements; custom behavior,2.4;3.2,M,Tester anticipates pulse and understands electrical consequence; no opaque or constant flash wall,Briefing p9; art/storm.jpg,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
3.6,Gravity anomaly,"Visible force direction, ship/debris response, approach/escape cues, controllable disturbance and scalable distortion",Agent + Niagara specialist,Custom signature effect,2.1;3.2,L,Player can predict pull and countersteer; screen distortion never hides the route,Briefing p9; art/gravity.jpg,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
4.1,Director pacing and variety,"Tune pressure composition, arrival directions, overlap caps, reaction space, persistence and short release windows using existing four families",Agent + encounter designer + owner,Build internally,3.2;3.4;3.5;3.6;5.1;5.2,L,Repeated same-wave runs differ perceptibly; threat changes have readable lead-in; relief stays around 20s maximum,Briefing pp5-8,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
4.2,Wave 5 sequence,"Disturbance/pull/transit effect, audio progression, hostile combat entry, surviving exit into station approach; retain one flight model",Agent + VFX/audio specialist,Custom wormhole presentation,4.1;5.3;5.4;8.1,L,Natural unassisted run reaches station through a continuous sequence; no apparent loading/minigame switch,Briefing p16,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
4.3,Waves 6-10 and compound climax,Escalate speed/composition/overlap; Wave10 gravity plus asteroid storm plus enemy pressure under common fairness budgets,Agent + owner,Build internally,4.1;4.2;6.2;6.3,L,Normal durability/loadout survives by decisions; later block feels harder without extra roster or health inflation,"Briefing pp8,16",Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
5.1,Pursuer,"Recognizable silhouette and engine trail, closing trajectory, attack windup/shot cue, hazard interaction, damaged/death presentation",Agent AI + vehicle artist,License secondary craft if style-compatible,1.2;2.3;3.2,M,Player identifies closing threat and a response without reading a label,Briefing p10,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
5.2,Flanker,"Distinct silhouette and wider flight path, lateral attention cues, committed attack and disengagement; preserve environment interaction",Agent AI + vehicle artist,Pair with same enemy art family,5.1,M,Player recognizes flanking behavior and divides attention; not a recolored pursuer,Briefing p10,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
5.3,Rapid Laser,"Ship-mounted visual/emitter if visible, muzzle socket, rapid shot/hit VFX, fire/impact audio and tier response; manual aim and soft targeting",Agent + VFX/audio specialist,No separate handheld gun model needed,1.2;2.3;3.3,M,Fast forgiving fire useful for fighters/small debris; assistance never removes manual intent or shoots through cover,Briefing p10,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
5.4,Heavy Cannon,"Mount/barrel silhouette where visible, heavy projectile and muzzle/impact timing, strong restrained recoil/audio, slower firing rhythm",Agent + VFX/audio specialist,Custom shared ship attachment family,5.3,M,Shots feel and function heavier; medium-rock choice differs from laser; projectiles obey range and cover,Briefing p10,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
6.1,Pickups and reward legibility,Credit/repair/rare shield/temporary buff icon-silhouette and FX/audio family; risk-value placement and collection timing,Agent + UI/VFX artist,Custom identity icons; simple meshes sufficient,2.4;3.2,M,Player identifies reward type without color alone and knowingly leaves safe line for value,"Scope 12,15",Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
6.2,Five I-V upgrade tracks and economy,"Hull Shield Engine Thrusters Weapon; truthful previews, deliberate purchases, differentiated felt benefits and survival/risk income tuning",Agent + owner,Build internally; shared icon family,2.2;5.3;5.4;6.1,L,Competent natural run supports about 2-3 meaningful station purchases; choice addresses an experienced problem,Briefing p12,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
6.3,Two utilities,"Vector Thrusters and Overdrive Cooling effects, icons, clear acquisition/replacement/active feedback and saved identity",Agent + UI/VFX artist,No inventory or elaborate physical models,6.2,M,Player can feel each benefit under pressure; no surprise utility pickups or duplicate purchase charges,Briefing p12,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
6.4,Salvage Cache event,"Explicit offer/accept point, wreckage diversion, objectives, reward reveal/choice and expiry/failure communication",Agent encounter designer,Reuse wreckage and reward assets,3.4;6.1;6.3,M,Approaching does not commit player; risk is understood and payout feels worthwhile,Briefing p14,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
6.5,Distress/combat event,"Distinct distress marker/prop, accepted combat pressure, success/failure cues and higher-quality reward",Agent encounter designer,Reuse two enemies and signal prop,5.1;5.2;6.4,M,Optional combat has understandable stakes and result without becoming a new game mode,Briefing p14,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
6.6,Mobile depot,"Beacon-marked optional merchant stop with suspended gravity/magnetic mooring, aboard-ship service menu, subset upgrades/deals and clear lock/release cues; no landing pad or disembarkation.",Agent + environment artist,Kitbash existing station/ship modules,6.2;6.3,M,"Exactly one depot appears; player deliberately approaches and opts into a suspended mooring, uses quick services while aboard, then releases into flight; passing does not commit the player.",Owner depot clarification 2026-09-13; Briefing p14,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
6.7,Two contracts,"One modifier and one objective contract; physical board, clear terms/penalties, progress and station settlement feedback",Agent + UI writer,Reuse terminal kit,6.2;8.3,M,One active contract; player understands extra pressure and actual reward/failure at next station,Briefing pp12-14,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
7.1,Acornaut surface and topology,"Audit AI source, preserve recognizable identity, retopology where deformation needs it, UV/bakes and separate fur/cloth/metal/glass response; optimized tail silhouette",Character artist + agent integration,High-priority specialist commission,1.2,L,Approved reference comparison in real chase and station lighting; no metallic fur or silhouette damage from decimation,Briefing p3; art/acornaut-full.jpg,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
7.2,Rig and deformation,"Stable export skeleton, skin weights, shoulders/hands/tail/face controls, collision/physics asset and LOD deformation; paired cockpit fit",Character rigger + agent,High-priority specialist commission,7.1;7.4,L,Hands/feet/tail hold contact through extreme steering and transitions; editable source supplied,Briefing pp3-4,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
7.3,Animation and personality,Idle walk run turns stop interact pilot steering/lean reactions disembark/reboard; blending and event timing; restrained facial/tail motion,Animator + agent Animation Blueprint,Retarget base locomotion only if rig fits; polish custom pilot/exit,7.2;8.1,L,"Continuous in-game clip has no foot sliding, grasp failure, tail clipping or exit-to-walk pop","Briefing pp3,6,13",Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
7.4,Starter acorn spacecraft,"Approved silhouette, cockpit/canopy with visible pilot, hard-surface topology/UV/PBR, engine/muzzle anchors, landing/exit contacts, LODs and collision",Vehicle artist + agent,Specialist identity asset; refine existing source first,1.2,L,"Read as the reference in actual rear chase view; pilot fits, no faceting or route occlusion","Briefing pp1,4,7; art/ship-hero.jpg",Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
7.5,Agile second spacecraft,Coherent but distinct agile lower-hull silhouette and handling; reuse agreed cockpit/sockets/material language where practical,Vehicle artist + agent,Commission derivative after starter acceptance,7.4;2.1,M,Unlock feels like a different handling choice; equal-tier comparison proves tradeoff,"Briefing pp4,15; art/ship-interceptor.jpg",Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
8.1,Station layout and docking envelope,"One compact hub archetype reused for both visits; bay/corridor geometry, manual entry/landing assistance, safe exit/boarding and walking camera clearance",Agent + environment artist,Layout internally before buying shell,1.2;2.3,M,Approach and service route work at actual ship/character scale without teleport/test assistance,"Briefing pp13,16",Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
8.2,Station shell and materials,"Modular deck/walls/ceiling/doors/window/trusses, lighting/material normalization, acorn identity decals, collision and streaming setup",Environment artist + agent,One coherent modular interior kit,8.1,L,Compact industrial place matches reference material/scale/lighting and supports camera/navigation,Briefing pp12-13; art/station.jpg,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
8.3,Station services and interfaces,"Repair console, five upgrades, contract board, vendor/utility access, save/quit and launch controls, clear prompts and navigation",Agent UI/gameplay + prop artist,Use kit console variants with custom screens,8.1;6.2,M,All services discovered and usable with both devices in a typical 1-3 minute visit,"Scope 17,43",Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
8.4,Station life and story,"1-2 NPC/vendor interactions, visible servicing arm/tool activity, ambient machinery/announcements, restrained flavor and one optional side reward",Environment/animation/audio specialists + agent,Kit machinery and licensed NPC base; custom identity dressing,8.2;8.3;7.3,M,Hub feels occupied and offers decompression; optional interaction does not become exploration/combat,Scope 43,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
8.5,Home hangar and fast return,"Reuse shell/material kit for home bay; ship selection, weapon/loadout point, progression/history/unlocks, launch and repeat shortcuts",Agent + environment artist,Reuse station investment,8.2;8.3;9.3,M,Returning player can choose and relaunch quickly while first-time flow remains understandable,"Briefing pp6,15,18",Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
9.1,HUD and game shell,"Moderate persistent HUD plus target/event/docking/subsystem cues, contextual radar; menu/continue/new/hangar/settings/stats/quit hierarchy",Agent + UI artist,Custom visual system and icon set,2.3;6.1,L,Readable in dense scene across supported UI scales/resolutions; no disconnected overlay style,"Scope 27,44",Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
9.2,Tutorial and accessibility,"Short controls introduction, learn in Waves1-3, reset/replay prompts, device glyphs, subtitles, non-color cues, shake/blur and relevant hold/toggle",Agent + owner/new tester,Build internally,2.2;9.1,M,New player can launch and use core maneuvers without developer coaching; device capabilities match,"Scope 32,44-45",Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
9.3,Death XP unlock and retry,"Clear cause/result, highest wave, secondary score, death-only XP, weapon and ship unlock progress, reset and immediate return path",Agent + UI/audio designer,Build internally,6.2;7.5;9.1,M,Natural death earns correct persistent progress; next run starts clean and presents a reason to try again,"Briefing pp15,18",Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
9.4,Local saves and Station2 boundary,"Account/settings/suspension compatibility, consume-before-play/death behavior; clear services/save/discard at slice boundary without Wave11 or victory XP",Agent,Build internally,8.3;9.3,M,Fresh-process save/resume/death verified; player understands slice boundary and no checkpoint exploit,"Scope 18,47; current implementation",Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
10.1,Flight combat and hazard soundscape,"Engine idle/accel/boost/brake/dodge, pass-bys, impacts, shield, two weapons, hazard buildup and discharge; spatial priority and concurrency",Sound designer + agent,License raw SFX; commission distinctive mix,2.2;3.2;5.3;5.4,L,"Audio communicates mass, speed and danger direction without alarm fatigue in natural play",Briefing p17; Scope 28,Planned - quality not accepted,Start G1 with benchmark engine/pass-by/impact sample; extend to weapons and full soundscape
10.2,Adaptive music and ambient life,"Low-pressure bed/intensity layers/climax transitions; hangar/station decompression, UI rewards and occasional character reactions",Composer/sound designer + agent,Layered licensed score or small custom stem set,4.1;8.4;10.1,M,"Musical energy follows pressure without constant peaks, abrupt loops or masking warnings","Scope 8,28-29",Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
10.3,Visual cohesion and VFX budget,"Shared exposure/palette/roughness, readable thrusters/trails/hits, gradual region backdrops, per-effect screen coverage and quality tiers",Technical/VFX artist + agent,Reuse components; custom defining effects,3.5;3.6;7.4;8.2,L,Flight and station look like one game; spectacle remains legible with shake/blur disabled,"Briefing p17; Scope 24,26",Planned - quality not accepted,Start G1 with representative material/FX rules; extend as each hazard and station sample arrives
11.1,Natural-play QA and evidence,"Small tester cohort, exact build/scenario/control record, clip/timestamps and cause/response/retry questions; separate automated versus human acceptance",Lead agent + owner/testers,Optional independent playtest help,4.3;8.4;9.2;9.4;10.2;10.3,L,"Two blocks, both stations, all roster and unlock/save/death cases exercised at normal settings; open defects retained",IMPLEMENT validation gates,Planned - quality not accepted,Start G0 baseline and G1 paired tests; repeat natural QA at every milestone
11.2,Performance and optimization,Profile CPU/GPU/frame pacing/RAM/VRAM at representative dense moments and station transitions; LOD/material/overdraw/collision/load budget based on evidence,Agent + technical artist,Specialist profiling if measured bottleneck persists,3.2;8.2;10.3,L,Representative PC meets 60FPS baseline; scalability retains simulation/control/readability first,Scope 46,Planned - quality not accepted,Start G1 baseline profile; repeat on each integrated content batch and qualify at G5
11.3,Release and content provenance,"Cook/package receipts, rights manifest, clean-PC prerequisite test, itch A-to-B update and save retention, known issues and manual release approval",Agent + owner publisher,Keep paid sources private; cooked builds for testers,11.1;11.2,M,Selected candidate installs/updates and retains appropriate saves on tester PC; no raw licensed asset leak,IMPLEMENT delivery; current itch workflow,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
